Song Title,Duration
"The Greatest Story Ever Told",5:04
"G.A.F.F.",5:17
"Blue Beam Baby",5:09
"Suburbiopia",4:00
"Bumma Sanger",4:53
"The Donkey",7:13
"Reporting of a Failed Campaign",5:38
"New Romeo Agent",4:53
"Legal Ghost",6:05
"The Confinement of the Quarks",2:25
